booking_id,staff_id,decision,decision_time,decision_note,rejection_reason,decision_method
1000000,DGFS0011,approved,2025-06-19T15:37:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000002,DGFS0025,approved,2025-01-14T18:39:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000003,DGFS0019,approved,2024-02-17T04:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000004,DGFS0005,approved,2023-12-07T12:06:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000005,DGFS0001,rejected,2023-05-31T00:06:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000006,DGFM0004,approved,2025-08-16T22:54:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000007,DGFS0020,approved,2025-07-06T13:09:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000008,DGFS0015,approved,2024-10-08T12:02:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000010,DGFS0008,approved,2022-09-18T11:35:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000011,DGFS0010,rejected,2024-02-01T00:04:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000013,DGFS0001,rejected,2023-03-09T15:18:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000015,DGFS0014,approved,2022-10-08T05:11:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000016,DGFS0024,approved,2025-06-04T07:00:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000018,DGFS0021,approved,2024-02-13T11:00:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000019,DGFS0016,approved,2025-03-10T01:43:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000020,DGFS0003,approved,2022-12-11T00:39:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000021,DGFS0009,approved,2024-05-16T10:53:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000022,DGFS0021,approved,2023-09-20T22:42:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000023,DGFS0009,approved,2025-05-16T01:59:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000025,DGFS0021,rejected,2025-04-20T16:48:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000027,,approved,2022-11-12T14:33:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000028,DGFS0013,approved,2024-06-21T14:50:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000029,DGFS0010,approved,2024-10-01T22:48:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000030,DGFS0009,approved,2024-07-10T08:23:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000031,DGFS0006,approved,2024-12-27T02:30:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000032,DGFM0001,approved,2024-12-27T08:40:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000033,DGFS0014,rejected,2022-11-21T02:00:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000034,DGFS0004,rejected,2022-12-03T19:34:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000035,DGFS0008,approved,2024-02-12T14:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000036,DGFM0004,approved,2025-05-20T01:23:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000038,,approved,2023-03-08T23:43:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000039,DGFS0022,rejected,2023-07-02T08:03:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000040,DGFM0001,approved,2023-10-02T15:50:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000044,,approved,2025-01-06T00:53:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000047,,approved,2022-12-01T12:31:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000048,DGFM0004,approved,2023-09-05T14:12:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000051,DGFS0024,approved,2025-06-21T08:48:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000053,DGFS0021,rejected,2023-06-30T15:24:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000054,DGFS0021,rejected,2023-01-16T01:52:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000055,DGFM0002,approved,2025-06-13T08:00:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000057,DGFS0009,approved,2023-09-13T17:59:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000058,,approved,2022-11-07T04:12:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000059,,approved,2024-11-10T03:06:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000062,DGFS0021,approved,2025-06-06T10:35:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000064,DGFS0013,approved,2024-06-23T09:56:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000065,DGFS0008,rejected,2024-03-13T23:06:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000067,DGFS0008,approved,2023-09-05T18:53:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000070,DGFM0003,approved,2023-07-17T23:18:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000071,DGFS0019,approved,2023-01-19T13:59:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000072,DGFS0008,rejected,2024-07-21T02:21:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000075,DGFS0021,approved,2023-07-15T12:41:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000076,DGFS0015,approved,2025-07-11T08:20:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000078,DGFS0003,rejected,2024-07-21T04:13:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000080,DGFS0004,approved,2023-09-24T00:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000081,DGFS0015,rejected,2025-02-23T16:10:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000082,DGFS0007,approved,2022-10-21T23:38:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000083,DGFS0008,approved,2024-08-07T17:40:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000084,DGFS0004,approved,2024-10-24T20:29:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000087,DGFS0015,approved,2024-02-24T01:11:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000089,DGFS0021,approved,2023-09-12T18:08:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000090,DGFS0001,approved,2024-02-11T15:37:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000091,DGFM0002,approved,2023-02-15T02:44:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000092,DGFS0009,approved,2023-09-11T13:16:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000094,DGFS0021,approved,2023-10-13T07:38:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000097,,approved,2024-12-05T13:45:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000098,DGFS0013,approved,2022-09-07T04:18:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000100,DGFS0015,rejected,2023-05-13T01:37:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000101,DGFS0011,approved,2024-04-08T12:12:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000103,DGFS0011,approved,2024-03-11T06:19:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000105,DGFM0004,approved,2024-07-24T03:52:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000106,DGFS0005,approved,2023-08-04T17:09:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000107,DGFM0005,approved,2022-08-23T00:14:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000108,DGFS0001,approved,2022-10-22T14:08:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000109,DGFS0020,approved,2024-04-09T14:49:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000110,DGFS0024,rejected,2022-11-21T08:16:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000111,DGFS0018,approved,2023-08-22T09:42:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000112,DGFS0014,approved,2023-07-06T10:25:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000113,DGFM0002,approved,2025-07-04T20:45:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000116,DGFS0008,approved,2022-10-15T02:06:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000117,DGFS0011,approved,2023-10-10T18:22:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000119,DGFS0023,approved,2023-07-05T04:17:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000120,DGFS0003,approved,2023-08-14T19:57:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000125,DGFM0002,approved,2023-11-21T12:33:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000126,DGFS0009,approved,2023-12-18T17:56:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000127,,approved,2023-02-18T10:26:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000128,DGFM0002,approved,2022-09-17T14:10:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000131,DGFS0007,approved,2023-09-30T13:13:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000133,DGFS0019,approved,2022-09-23T13:22:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000134,DGFM0004,approved,2023-07-29T18:28:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000135,DGFS0018,rejected,2024-07-25T16:16:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000136,DGFS0002,approved,2024-03-16T17:30:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000139,DGFS0016,approved,2024-12-19T11:49:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000140,DGFS0005,approved,2024-09-20T17:27:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000142,DGFM0004,approved,2025-04-15T01:38:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000144,DGFS0016,approved,2022-12-18T05:15:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000145,DGFS0006,approved,2024-10-09T17:20:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000146,DGFS0010,approved,2025-04-28T13:45:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000147,DGFS0022,approved,2023-02-19T15:25:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000148,DGFS0022,approved,2024-05-09T21:18:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000149,DGFS0005,approved,2024-11-21T15:08:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000150,DGFS0025,approved,2022-11-29T09:07:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000151,DGFS0025,approved,2025-05-12T00:40:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000153,DGFS0010,rejected,2023-02-06T11:38:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000154,DGFS0005,approved,2024-09-15T01:30:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000155,DGFM0001,approved,2024-08-12T18:19:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000156,DGFS0020,approved,2022-11-12T03:45:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000157,DGFS0001,approved,2025-01-01T22:28:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000158,DGFS0015,approved,2024-04-04T17:36:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000159,,approved,2023-07-24T06:32:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000160,DGFS0019,approved,2024-10-12T21:50:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000161,DGFS0011,approved,2024-12-02T22:21:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000162,DGFS0017,approved,2024-10-07T16:29:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000163,DGFM0004,approved,2025-07-21T11:58:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000164,DGFS0010,approved,2025-01-30T03:36:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000165,DGFM0002,approved,2024-04-03T17:55:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000166,,approved,2024-12-31T15:00:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000167,DGFS0023,approved,2022-10-25T08:23:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000169,DGFS0022,approved,2025-05-29T00:28:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000170,DGFS0004,approved,2025-02-03T16:35:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000171,DGFS0001,approved,2024-05-29T15:54:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000173,DGFS0019,approved,2024-10-17T06:42:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000174,DGFS0003,approved,2024-07-31T21:33:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000176,DGFS0005,approved,2022-09-30T15:46:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000177,DGFS0019,approved,2023-07-15T15:53:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000178,DGFS0005,approved,2025-07-31T01:19:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000179,DGFM0004,approved,2024-02-04T20:08:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000180,DGFS0015,approved,2024-04-02T20:29:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000183,DGFS0023,approved,2024-04-06T06:43:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000184,DGFM0001,approved,2025-06-08T16:56:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000186,DGFS0004,approved,2023-04-17T07:12:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000187,DGFS0008,approved,2023-01-17T12:18:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000188,DGFS0021,approved,2023-09-06T15:56:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000191,DGFS0020,approved,2024-07-26T08:07:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000192,DGFS0022,approved,2023-01-15T17:20:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000193,,approved,2023-11-05T10:56:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000195,,approved,2022-08-16T23:14:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000196,DGFS0002,approved,2023-08-23T09:35:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000197,DGFS0025,approved,2022-11-11T03:43:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000198,DGFS0004,approved,2025-06-09T17:27:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000199,DGFS0002,approved,2023-04-08T04:58:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000200,DGFS0025,approved,2024-05-26T19:07:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000201,DGFS0007,approved,2022-09-07T19:12:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000203,DGFS0012,approved,2022-08-27T20:06:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000204,DGFM0002,approved,2023-08-03T01:39:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000205,DGFS0020,approved,2025-03-25T03:34:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000207,DGFS0013,approved,2024-09-22T14:33:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000208,DGFS0018,rejected,2024-03-26T09:34:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000209,DGFS0021,approved,2023-06-10T18:06:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000210,DGFM0003,approved,2023-04-26T05:58:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000212,DGFM0005,rejected,2022-11-29T00:48:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000213,DGFM0004,rejected,2025-06-22T20:19:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000214,DGFM0003,approved,2025-03-14T19:24:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000215,DGFM0005,approved,2025-06-30T09:10:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000216,DGFM0003,approved,2025-04-13T17:19:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000220,DGFS0013,approved,2024-09-09T18:06:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000221,DGFM0002,rejected,2023-11-21T20:27:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000222,DGFS0009,approved,2024-11-01T16:12:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000223,DGFS0023,approved,2025-07-01T01:28:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000224,DGFS0013,approved,2024-11-14T00:19:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000225,DGFM0003,rejected,2023-02-17T18:29:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000226,DGFS0010,approved,2023-06-09T09:53:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000228,DGFS0013,approved,2025-03-26T03:24:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000229,DGFS0014,approved,2023-04-12T11:40:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000231,DGFS0010,approved,2023-05-18T05:25:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000232,DGFS0022,approved,2023-01-09T22:12:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000233,DGFS0016,approved,2023-09-18T09:18:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000234,DGFS0024,approved,2025-05-01T13:51:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000235,,approved,2024-12-01T10:03:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000236,,approved,2023-06-09T10:52:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000237,DGFS0009,approved,2022-11-02T17:40:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000242,,approved,2024-04-11T04:19:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000243,DGFS0017,approved,2023-04-20T00:38:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000244,DGFS0014,approved,2024-07-08T17:38:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000245,DGFS0002,approved,2024-11-19T05:11:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000247,DGFS0006,approved,2024-10-10T09:57:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000248,DGFS0002,approved,2024-01-10T00:51:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000249,DGFS0019,approved,2024-04-27T20:50:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000250,DGFS0006,approved,2022-11-12T01:48:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000253,DGFS0017,approved,2023-12-30T17:26:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000254,DGFS0018,rejected,2023-11-29T07:02:00,Generated staff review rejected this request.,Purpose does not satisfy the space policy.,staff
1000255,DGFS0024,approved,2025-07-29T15:48:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000256,DGFS0025,approved,2023-11-18T23:39:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000258,DGFM0004,rejected,2024-01-15T07:45:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000259,DGFS0024,approved,2023-02-19T22:19:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000260,DGFS0015,approved,2024-01-15T12:26:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000262,DGFM0001,rejected,2025-06-22T23:51:00,Generated staff review rejected this request.,Requested setup is not supported.,staff
1000264,DGFS0005,approved,2025-05-29T02:32:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000265,DGFS0010,approved,2025-01-12T04:59:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000266,DGFM0001,approved,2023-05-31T12:31:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
1000270,,approved,2025-01-06T04:52:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000271,,approved,2024-09-09T05:52:00,Automatically approved at submission time; generated usage policy satisfied.,,automatic
1000272,DGFS0006,rejected,2023-05-24T21:32:00,Generated staff review rejected this request.,Requested operational support is unavailable.,staff
1000273,DGFS0007,approved,2023-11-23T18:00:00,"Generated staff approval: room, capacity, and policy checks passed.",,staff
