booking_id,maintenance_id,acknowledged_at
1091840,1000000,2024-06-20T07:54:00
1002728,1000001,2024-11-09T03:16:00
1023291,1000001,2024-11-10T12:53:00
1098807,1000002,2024-03-05T11:25:00
1013402,1000003,2023-10-17T22:51:00
1053551,1000003,2023-10-26T00:14:00
1075868,1000003,2023-09-09T07:55:00
1061215,1000004,2025-03-28T11:05:00
1035712,1000005,2024-02-23T11:55:00
1094404,1000006,2025-02-22T07:53:00
1055445,1000006,2025-02-28T07:33:00
1087120,1000007,2023-07-15T11:26:00
1047307,1000008,2025-03-20T05:47:00
1049279,1000008,2025-03-21T04:22:00
1056981,1000009,2024-06-06T03:22:00
1084763,1000009,2024-06-26T04:45:00
1089770,1000009,2024-06-05T08:53:00
1020243,1000010,2023-09-20T06:30:00
1066621,1000011,2024-10-05T11:54:00
1028745,1000012,2024-04-08T08:30:00
1061100,1000013,2023-01-13T09:42:00
1033483,1000014,2024-10-26T03:51:00
1002487,1000014,2024-10-13T03:56:00
1076484,1000015,2022-12-06T09:53:00
1098210,1000016,2024-04-07T07:20:00
1041754,1000017,2023-12-15T03:57:00
1047942,1000018,2023-03-21T07:10:00
1090819,1000019,2024-10-09T09:30:00
1052422,1000020,2023-09-08T05:12:00
1031845,1000021,2025-04-07T07:56:00
1068937,1000021,2025-03-07T15:06:00
1036619,1000022,2023-06-22T01:46:00
1014070,1000023,2024-10-15T06:43:00
1009177,1000024,2025-01-21T10:11:00
1024532,1000025,2025-05-23T04:19:00
1060213,1000025,2025-06-23T05:47:00
1000971,1000026,2024-06-29T04:33:00
1063735,1000026,2024-06-15T11:23:00
1071057,1000026,2024-07-11T08:30:00
1084678,1000027,2024-05-02T00:38:00
1030774,1000027,2024-04-19T00:28:00
1054301,1000028,2025-05-17T23:24:00
1043218,1000029,2022-10-26T07:04:00
1001672,1000030,2024-01-27T15:05:00
1059457,1000031,2022-08-22T09:36:00
1066352,1000032,2024-01-16T09:30:00
1043031,1000033,2025-07-14T05:30:00
1088204,1000034,2023-11-15T12:16:00
1024257,1000034,2023-11-16T15:51:00
1052094,1000035,2024-10-12T10:16:00
1002400,1000036,2024-12-26T10:47:00
1005868,1000037,2024-09-12T05:43:00
1089817,1000038,2023-08-02T02:17:00
1093606,1000038,2023-07-29T02:48:00
1004064,1000039,2023-07-26T06:29:00
1015158,1000039,2023-07-16T07:14:00
1067475,1000040,2024-07-05T06:02:00
1095479,1000041,2024-03-12T07:04:00
1041400,1000042,2022-11-24T07:32:00
1086242,1000042,2022-11-18T10:04:00
1077874,1000043,2023-11-21T08:22:00
