booking_id,requester_id,space_code,requested_start_time,requested_end_time,purpose_of_use,expected_participants,final_booking_status,created_at
1000000,DGU0372,DG034,2025-07-10T17:00:00,2025-07-10T18:00:00,administrative event,25,completed,2025-06-16T16:37:00
1000001,DGTA0020,DG011,2024-11-12T16:30:00,2024-11-12T18:00:00,seminar,3,cancelled,2024-09-26T11:44:00
1000002,DGU0005,DG002,2025-02-28T14:00:00,2025-02-28T17:00:00,meeting,34,completed,2025-01-13T09:39:00
1000003,DGL0003,DG030,2024-04-03T08:00:00,2024-04-03T10:00:00,meeting,18,completed,2024-02-15T03:46:00
1000004,DGU0142,DG050,2023-12-13T15:00:00,2023-12-13T16:00:00,lecture,43,completed,2023-12-06T10:06:00
1000005,DGU0340,DG001,2023-07-24T12:00:00,2023-07-24T13:00:00,examination,91,rejected,2023-05-28T02:06:00
1000006,DGU0021,DG047,2025-08-29T16:00:00,2025-08-29T17:00:00,administrative event,2,completed,2025-08-14T14:54:00
1000007,DGU0126,DG012,2025-07-10T15:00:00,2025-07-10T16:00:00,workshop,19,completed,2025-07-04T12:09:00
1000008,DGL0021,DG040,2024-10-15T12:00:00,2024-10-15T13:00:00,workshop,34,completed,2024-10-07T07:02:00
1000009,DGU0368,DG036,2022-11-23T14:30:00,2022-11-23T16:30:00,workshop,8,cancelled,2022-10-05T08:47:00
1000010,DGL0030,DG054,2022-10-25T11:00:00,2022-10-25T13:00:00,workshop,13,no-show,2022-09-18T03:35:00
1000011,DGU0310,DG049,2024-02-20T09:00:00,2024-02-20T10:30:00,workshop,69,rejected,2024-01-31T03:04:00
1000012,DGU0367,DG021,2024-08-04T08:00:00,2024-08-04T09:30:00,examination,7,pending,2024-07-16T06:29:00
1000013,DGU0003,DG022,2023-04-13T11:00:00,2023-04-13T12:00:00,workshop,4,rejected,2023-03-07T05:18:00
1000014,DGU0203,DG047,2024-11-28T12:30:00,2024-11-28T13:30:00,seminar,6,pending,2024-11-11T05:14:00
1000015,DGU0221,DG018,2022-11-06T14:00:00,2022-11-06T15:00:00,student activity,10,approved,2022-10-06T06:11:00
1000016,DGU0021,DG017,2025-06-21T08:00:00,2025-06-21T09:00:00,seminar,10,completed,2025-06-04T00:00:00
1000017,DGU0396,DG030,2023-06-26T15:00:00,2023-06-26T16:00:00,workshop,5,pending,2023-06-19T08:00:00
1000018,DGL0016,DG046,2024-04-09T15:00:00,2024-04-09T17:00:00,meeting,17,completed,2024-02-12T06:00:00
1000019,DGDA0001,DG044,2025-04-01T13:00:00,2025-04-01T14:00:00,examination,35,completed,2025-03-07T03:43:00
1000020,DGL0019,DG039,2022-12-15T12:00:00,2022-12-15T13:00:00,examination,13,approved,2022-12-09T11:39:00
1000021,DGU0377,DG050,2024-07-01T14:00:00,2024-07-01T15:00:00,examination,8,completed,2024-05-15T04:53:00
1000022,DGU0028,DG001,2023-10-19T17:00:00,2023-10-19T18:00:00,seminar,111,approved,2023-09-20T09:42:00
1000023,DGU0016,DG028,2025-07-10T11:00:00,2025-07-10T13:00:00,workshop,14,completed,2025-05-13T09:59:00
