facility_id,facility_type_name,space_code,asset_tag,instance_status,condition_note,installed_at
1000000,Projector,DG001,DG-DG001-1000000,available,Generated benchmark asset in serviceable condition.,2022-07-15T00:00:00
1000001,Microphone,DG001,DG-DG001-1000001,available,Generated benchmark asset in serviceable condition.,2022-08-03T00:00:00
1000002,Microphone,DG001,DG-DG001-1000002,available,Generated benchmark asset in serviceable condition.,2022-08-22T00:00:00
1000003,Microphone,DG001,DG-DG001-1000003,available,Generated benchmark asset in serviceable condition.,2021-06-04T00:00:00
1000004,Livestreaming equipment,DG001,DG-DG001-1000004,available,Generated benchmark asset in serviceable condition.,2023-01-18T00:00:00
1000005,Air conditioner,DG001,DG-DG001-1000005,available,Generated benchmark asset in serviceable condition.,2022-08-05T00:00:00
1000006,Computer,DG001,DG-DG001-1000006,available,Generated benchmark asset in serviceable condition.,2023-03-30T00:00:00
1000007,Projector,DG002,DG-DG002-1000007,available,Generated benchmark asset in serviceable condition.,2021-05-27T00:00:00
1000008,Whiteboard,DG002,DG-DG002-1000008,available,Generated benchmark asset in serviceable condition.,2023-03-17T00:00:00
1000009,Air conditioner,DG002,DG-DG002-1000009,available,Generated benchmark asset in serviceable condition.,2022-09-18T00:00:00
1000010,TV screen,DG002,DG-DG002-1000010,available,Generated benchmark asset in serviceable condition.,2022-08-05T00:00:00
1000011,Computer,DG002,DG-DG002-1000011,available,Generated benchmark asset in serviceable condition.,2023-03-25T00:00:00
1000012,Computer,DG003,DG-DG003-1000012,available,Generated benchmark asset in serviceable condition.,2021-01-02T00:00:00
1000013,Computer,DG003,DG-DG003-1000013,available,Generated benchmark asset in serviceable condition.,2022-08-12T00:00:00
1000014,Computer,DG003,DG-DG003-1000014,available,Generated benchmark asset in serviceable condition.,2021-12-05T00:00:00
1000015,Computer,DG003,DG-DG003-1000015,available,Generated benchmark asset in serviceable condition.,2023-03-06T00:00:00
1000016,Computer,DG003,DG-DG003-1000016,available,Generated benchmark asset in serviceable condition.,2023-01-27T00:00:00
1000017,Computer,DG003,DG-DG003-1000017,available,Generated benchmark asset in serviceable condition.,2023-05-03T00:00:00
1000018,Computer,DG003,DG-DG003-1000018,available,Generated benchmark asset in serviceable condition.,2023-04-27T00:00:00
1000019,Computer,DG003,DG-DG003-1000019,available,Generated benchmark asset in serviceable condition.,2021-11-29T00:00:00
1000020,Computer,DG003,DG-DG003-1000020,available,Generated benchmark asset in serviceable condition.,2021-03-10T00:00:00
1000021,Projector,DG003,DG-DG003-1000021,available,Generated benchmark asset in serviceable condition.,2021-09-19T00:00:00
1000022,Air conditioner,DG003,DG-DG003-1000022,available,Generated benchmark asset in serviceable condition.,2023-01-23T00:00:00
1000023,TV screen,DG003,DG-DG003-1000023,available,Generated benchmark asset in serviceable condition.,2022-01-05T00:00:00
1000024,Livestreaming equipment,DG003,DG-DG003-1000024,available,Generated benchmark asset in serviceable condition.,2022-03-26T00:00:00
1000025,Computer,DG004,DG-DG004-1000025,available,Generated benchmark asset in serviceable condition.,2023-02-10T00:00:00
1000026,Computer,DG004,DG-DG004-1000026,available,Generated benchmark asset in serviceable condition.,2021-06-04T00:00:00
1000027,Computer,DG004,DG-DG004-1000027,available,Generated benchmark asset in serviceable condition.,2022-01-18T00:00:00
1000028,Computer,DG004,DG-DG004-1000028,available,Generated benchmark asset in serviceable condition.,2023-01-03T00:00:00
1000029,Computer,DG004,DG-DG004-1000029,available,Generated benchmark asset in serviceable condition.,2022-03-04T00:00:00
1000030,Computer,DG004,DG-DG004-1000030,available,Generated benchmark asset in serviceable condition.,2021-12-28T00:00:00
1000031,Computer,DG004,DG-DG004-1000031,available,Generated benchmark asset in serviceable condition.,2022-11-04T00:00:00
1000032,Computer,DG004,DG-DG004-1000032,available,Generated benchmark asset in serviceable condition.,2023-03-04T00:00:00
1000033,Whiteboard,DG004,DG-DG004-1000033,available,Generated benchmark asset in serviceable condition.,2021-03-08T00:00:00
1000034,Air conditioner,DG004,DG-DG004-1000034,available,Generated benchmark asset in serviceable condition.,2022-05-17T00:00:00
1000035,TV screen,DG005,DG-DG005-1000035,available,Generated benchmark asset in serviceable condition.,2021-01-20T00:00:00
1000036,Whiteboard,DG005,DG-DG005-1000036,available,Generated benchmark asset in serviceable condition.,2023-02-27T00:00:00
1000037,Air conditioner,DG005,DG-DG005-1000037,available,Generated benchmark asset in serviceable condition.,2022-12-19T00:00:00
1000038,Livestreaming equipment,DG005,DG-DG005-1000038,available,Generated benchmark asset in serviceable condition.,2023-03-22T00:00:00
1000039,Whiteboard,DG006,DG-DG006-1000039,available,Generated benchmark asset in serviceable condition.,2022-04-03T00:00:00
1000040,Air conditioner,DG006,DG-DG006-1000040,available,Generated benchmark asset in serviceable condition.,2022-11-22T00:00:00
1000041,Computer,DG006,DG-DG006-1000041,available,Generated benchmark asset in serviceable condition.,2022-06-07T00:00:00
1000042,Projector,DG006,DG-DG006-1000042,available,Generated benchmark asset in serviceable condition.,2021-04-09T00:00:00
1000043,Projector,DG007,DG-DG007-1000043,available,Generated benchmark asset in serviceable condition.,2021-07-21T00:00:00
1000044,Microphone,DG007,DG-DG007-1000044,available,Generated benchmark asset in serviceable condition.,2021-09-05T00:00:00
1000045,Microphone,DG007,DG-DG007-1000045,available,Generated benchmark asset in serviceable condition.,2022-07-31T00:00:00
1000046,Livestreaming equipment,DG007,DG-DG007-1000046,available,Generated benchmark asset in serviceable condition.,2022-05-17T00:00:00
1000047,Air conditioner,DG007,DG-DG007-1000047,available,Generated benchmark asset in serviceable condition.,2021-12-02T00:00:00
1000048,Computer,DG007,DG-DG007-1000048,available,Generated benchmark asset in serviceable condition.,2023-01-28T00:00:00
1000049,Whiteboard,DG007,DG-DG007-1000049,available,Generated benchmark asset in serviceable condition.,2022-06-22T00:00:00
1000050,Projector,DG008,DG-DG008-1000050,available,Generated benchmark asset in serviceable condition.,2021-10-08T00:00:00
1000051,Whiteboard,DG008,DG-DG008-1000051,available,Generated benchmark asset in serviceable condition.,2023-06-05T00:00:00
1000052,Air conditioner,DG008,DG-DG008-1000052,available,Generated benchmark asset in serviceable condition.,2022-08-16T00:00:00
1000053,Computer,DG008,DG-DG008-1000053,available,Generated benchmark asset in serviceable condition.,2023-05-16T00:00:00
1000054,Computer,DG009,DG-DG009-1000054,available,Generated benchmark asset in serviceable condition.,2023-01-25T00:00:00
1000055,Computer,DG009,DG-DG009-1000055,available,Generated benchmark asset in serviceable condition.,2022-05-02T00:00:00
1000056,Computer,DG009,DG-DG009-1000056,available,Generated benchmark asset in serviceable condition.,2023-03-17T00:00:00
1000057,Computer,DG009,DG-DG009-1000057,available,Generated benchmark asset in serviceable condition.,2022-03-01T00:00:00
1000058,Computer,DG009,DG-DG009-1000058,available,Generated benchmark asset in serviceable condition.,2023-04-21T00:00:00
1000059,Computer,DG009,DG-DG009-1000059,available,Generated benchmark asset in serviceable condition.,2022-04-07T00:00:00
