maintenance_id,staff_id,assigned_at,unassigned_at,assignment_role
1000000,DGFS0023,2024-06-23T11:57:00,2024-06-23T13:30:00,primary
1000001,DGFS0017,2025-07-05T12:34:00,2025-07-05T14:00:00,primary
1000002,DGFS0005,2024-09-23T13:53:00,2024-09-23T15:30:00,primary
1000003,DGFS0001,2023-08-27T12:13:00,2023-08-27T14:30:00,primary
1000004,DGFM0004,2023-10-24T14:23:00,2023-10-24T15:30:00,primary
1000005,DGFS0023,2022-10-24T13:49:00,2022-10-24T15:00:00,primary
1000006,DGFS0012,2023-06-08T08:17:00,2023-06-08T11:30:00,primary
1000007,DGFS0009,2023-04-11T12:50:00,2023-04-11T14:30:00,primary
1000008,DGFM0003,2023-02-24T15:13:00,2023-02-24T16:30:00,primary
1000009,DGFS0019,2022-10-09T13:08:00,2022-10-09T14:30:00,primary
1000010,DGFS0003,2025-03-28T16:03:00,2025-03-28T17:30:00,primary
1000011,DGFS0014,2025-08-06T14:52:00,2025-08-06T16:30:00,primary
1000012,DGFS0002,2022-10-03T12:56:00,2022-10-03T14:30:00,primary
1000013,DGFS0004,2025-05-07T16:24:00,2025-05-07T18:30:00,primary
1000014,DGFS0008,2023-01-27T09:40:00,2023-01-27T11:00:00,primary
1000015,DGFS0009,2024-04-15T16:01:00,2024-04-15T18:30:00,primary
1000016,DGFM0003,2024-05-14T14:24:00,2024-05-14T15:30:00,primary
1000017,DGFS0024,2023-07-30T09:47:00,2023-07-30T11:30:00,primary
1000018,DGFS0001,2022-10-14T14:00:00,2022-10-14T15:30:00,primary
1000019,DGFS0002,2024-07-27T10:15:00,2024-07-27T12:30:00,primary
1000020,DGFS0018,2025-06-27T08:11:00,2025-06-27T09:30:00,primary
1000021,DGFS0001,2023-10-04T13:56:00,2023-10-04T15:30:00,primary
1000022,DGFM0005,2022-12-08T15:51:00,2022-12-08T18:30:00,primary
1000023,DGFS0020,2023-06-01T13:54:00,2023-06-01T17:30:00,primary
1000024,DGFS0008,2024-04-14T16:56:00,2024-04-14T18:30:00,primary
1000025,DGFS0004,2022-10-17T09:22:00,2022-10-17T11:00:00,primary
1000026,DGFS0011,2022-11-29T09:09:00,2022-11-29T10:30:00,primary
1000027,DGFS0011,2022-12-01T11:49:00,2022-12-01T14:00:00,primary
1000028,DGFS0001,2022-10-12T15:39:00,2022-10-12T17:30:00,primary
1000029,DGFM0003,2024-03-02T10:44:00,2024-03-02T12:30:00,primary
1000030,DGFS0005,2024-08-27T16:56:00,2024-08-27T18:30:00,primary
1000031,DGFS0015,2023-03-12T15:26:00,2023-03-12T17:30:00,primary
1000032,DGFS0022,2025-07-03T16:13:00,2025-07-03T18:30:00,primary
1000033,DGFM0002,2023-01-23T16:47:00,2023-01-23T18:30:00,primary
1000034,DGFS0020,2023-12-29T10:30:00,2023-12-29T11:30:00,primary
1000035,DGFM0002,2025-06-04T09:07:00,2025-06-04T11:30:00,primary
1000036,DGFM0005,2024-11-05T13:28:00,2024-11-05T14:30:00,primary
1000037,DGFS0001,2024-07-18T10:50:00,2024-07-18T12:30:00,primary
1000038,DGFS0021,2024-04-13T08:45:00,2024-04-13T10:30:00,primary
1000039,DGFS0024,2024-02-24T08:27:00,2024-02-24T09:30:00,primary
1000040,DGFS0016,2023-04-23T08:52:00,2023-04-23T10:00:00,primary
1000041,DGFS0014,2025-06-28T11:15:00,2025-06-28T13:30:00,primary
1000042,DGFS0022,2023-09-24T15:21:00,2023-09-24T16:30:00,primary
1000043,DGFS0024,2023-01-03T16:14:00,2023-01-03T18:30:00,primary
1000044,DGFS0018,2024-03-11T10:17:00,2024-03-11T13:00:00,primary
1000045,DGFS0018,2023-12-09T10:07:00,2023-12-09T13:30:00,primary
1000046,DGFS0021,2024-12-12T12:44:00,2024-12-12T15:30:00,primary
1000047,DGFS0019,2022-11-20T14:17:00,2022-11-20T15:30:00,primary
1000048,DGFS0001,2025-03-17T14:42:00,2025-03-17T16:30:00,primary
1000049,DGFS0016,2024-08-04T14:51:00,2024-08-04T16:30:00,primary
1000050,DGFS0002,2024-12-30T07:47:00,2024-12-30T09:30:00,primary
1000051,DGFS0003,2024-08-21T14:10:00,2024-08-21T15:30:00,primary
1000052,DGFS0011,2022-12-17T07:57:00,2022-12-17T09:30:00,primary
1000053,DGFS0023,2025-07-09T12:13:00,2025-07-09T15:00:00,primary
1000054,DGFS0011,2023-08-26T08:15:00,2023-08-26T09:30:00,primary
