maintenance_id,changed_by,escalated_at,new_impact_level,change_reason
1000500,DGFS0001,2024-06-11T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000501,DGFS0001,2025-01-03T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000502,DGFS0001,2023-12-01T14:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000503,DGFS0001,2024-03-02T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000504,DGFS0001,2023-02-02T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000505,DGFS0001,2023-05-22T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000506,DGFS0001,2022-11-29T15:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000507,DGFS0001,2023-05-10T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000508,DGFS0001,2025-06-20T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000509,DGFS0001,2022-12-20T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000510,DGFS0001,2025-06-03T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000511,DGFS0001,2025-03-17T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000512,DGFS0001,2025-06-24T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000513,DGFS0001,2025-05-21T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000514,DGFS0001,2024-11-14T12:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000515,DGFS0001,2023-11-10T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000516,DGFS0001,2025-05-12T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000517,DGFS0001,2023-09-07T11:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000518,DGFS0001,2024-03-12T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000519,DGFS0001,2022-09-22T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000520,DGFS0001,2024-01-28T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000521,DGFS0001,2022-11-11T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000522,DGFS0001,2024-05-12T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000523,DGFS0001,2023-08-22T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000524,DGFS0001,2024-09-20T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000525,DGFS0001,2025-01-16T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000526,DGFS0001,2025-08-12T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000527,DGFS0001,2023-01-19T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000528,DGFS0001,2024-02-03T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000529,DGFS0001,2025-04-18T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000530,DGFS0001,2023-12-23T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000531,DGFS0001,2024-10-13T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000532,DGFS0001,2025-08-08T11:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000533,DGFS0001,2022-09-19T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000534,DGFS0001,2023-09-07T07:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000535,DGFS0001,2024-12-30T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000536,DGFS0001,2024-05-27T15:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000537,DGFS0001,2023-06-08T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000538,DGFS0001,2023-02-15T10:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000539,DGFS0001,2024-06-28T14:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000540,DGFS0001,2025-05-22T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000541,DGFS0001,2024-01-29T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000542,DGFS0001,2023-11-20T08:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000543,DGFS0001,2025-06-10T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000544,DGFS0001,2024-06-15T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000545,DGFS0001,2023-11-07T09:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000546,DGFS0001,2025-04-07T16:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
1000547,DGFS0001,2025-07-11T13:55:00,out-of-service,Generated benchmark escalation from advisory to out-of-service.
