booking_id,actual_start_time,checked_in_by,initial_condition,actual_end_time,final_condition,usage_notes
1000000,2025-07-10T17:04:00,DGFM0002,Generated check-in: room ready for use.,2025-07-10T18:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000002,2025-02-28T13:55:00,DGFS0020,Generated check-in: room ready for use.,2025-02-28T17:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000003,2024-04-03T08:09:00,DGFS0024,Generated check-in: room ready for use.,2024-04-03T10:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000004,2023-12-13T14:52:00,DGFS0009,Generated check-in: room ready for use.,2023-12-13T16:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000006,2025-08-29T16:03:00,DGFS0018,Generated check-in: room ready for use.,2025-08-29T16:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000007,2025-07-10T14:56:00,DGFS0024,Generated check-in: room ready for use.,2025-07-10T16:03:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000008,2024-10-15T11:54:00,DGFM0001,Generated check-in: room ready for use.,2024-10-15T13:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000016,2025-06-21T07:55:00,DGFS0019,Generated check-in: room ready for use.,2025-06-21T08:56:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000018,2024-04-09T15:10:00,DGFS0011,Generated check-in: room ready for use.,2024-04-09T16:56:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000019,2025-04-01T12:56:00,DGFS0021,Generated check-in: room ready for use.,2025-04-01T14:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000021,2024-07-01T14:07:00,DGFM0001,Generated check-in: room ready for use.,2024-07-01T15:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000023,2025-07-10T10:53:00,DGFS0020,Generated check-in: room ready for use.,2025-07-10T13:08:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000027,2022-12-09T16:08:00,DGFS0003,Generated check-in: room ready for use.,2022-12-09T18:11:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000028,2024-08-05T11:02:00,DGFS0021,Generated check-in: room ready for use.,2024-08-05T13:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000031,2025-02-02T12:59:00,DGFS0022,Generated check-in: room ready for use.,2025-02-02T14:03:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000032,2025-01-24T10:08:00,DGFS0001,Generated check-in: room ready for use.,2025-01-24T11:15:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000036,2025-07-15T07:55:00,DGFM0004,Generated check-in: room ready for use.,2025-07-15T10:02:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000038,2023-03-24T08:01:00,DGFS0023,Generated check-in: room ready for use.,2023-03-24T09:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000044,2025-01-13T10:04:00,DGFS0019,Generated check-in: room ready for use.,2025-01-13T10:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000048,2023-09-22T12:05:00,DGFM0003,Generated check-in: room ready for use.,2023-09-22T12:56:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000051,2025-07-09T07:56:00,DGFS0013,Generated check-in: room ready for use.,2025-07-09T09:58:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000055,2025-06-27T15:53:00,DGFS0001,Generated check-in: room ready for use.,2025-06-27T18:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000057,2023-10-04T13:59:00,DGFS0019,Generated check-in: room ready for use.,2023-10-04T15:07:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000058,2023-01-04T10:04:00,DGFS0025,Generated check-in: room ready for use.,2023-01-04T11:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000059,2024-12-15T10:56:00,DGFS0012,Generated check-in: room ready for use.,2024-12-15T12:59:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000062,2025-06-30T09:10:00,DGFS0002,Generated check-in: room ready for use.,2025-06-30T10:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000064,2024-07-14T14:58:00,DGFS0010,Generated check-in: room ready for use.,2024-07-14T17:12:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000067,2023-10-16T09:07:00,DGFS0019,Generated check-in: room ready for use.,2023-10-16T10:03:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000070,2023-08-25T10:04:00,DGFS0023,Generated check-in: room ready for use.,2023-08-25T12:55:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000071,2023-03-07T09:07:00,DGFS0022,Generated check-in: room ready for use.,2023-03-07T10:13:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000075,2023-08-27T09:56:00,DGFS0015,Generated check-in: room ready for use.,2023-08-27T13:14:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
1000076,2025-08-10T12:55:00,DGFS0008,Generated check-in: room ready for use.,2025-08-10T15:01:00,Generated completion: room returned in acceptable condition.,Generated completed usage session.
